id;name;longitude;latitude;type;subtype
339;1655 RIVADAVIA AV.;-58,3898883;-34,6090641;Parada Colectivo;
340;1665 RIVADAVIA AV.;-58,3900789;-34,6090775;Parada Colectivo;
341;1589 BOLIVAR;-58,3726104;-34,6265167;Parada Colectivo;
342;1719 RIVADAVIA AV.;-58,3909525;-34,6091327;Parada Colectivo;
343;1775 RIVADAVIA AV.;-58,3915424;-34,6091742;Parada Colectivo;
344;1125 REGIMIENTO DE PATRICIOS AV.;-58,3692334;-34,6407253;Parada Colectivo;
345;1151 REGIMIENTO DE PATRICIOS AV.;-58,3692168;-34,6408335;Parada Colectivo;
346;1175 REGIMIENTO DE PATRICIOS AV.;-58,3692015;-34,6409333;Parada Colectivo;
347;131 CALLAO AVE;-58,3919606;-34,6075947;Parada Colectivo;
348;157 CALLAO AV.;-58,3919813;-34,6073075;Parada Colectivo;
349;1353 REGIMIENTO DE PATRICIOS AV.;-58,3689501;-34,6426194;Parada Colectivo;
350;1439 REGIMIENTO DE PATRICIOS AV.;-58,3688552;-34,6432637;Parada Colectivo;
